운전 배우다 원하다|운전교육 신청하러 오셨어요?
요즘 피곤하다 때문 학교 다니다 힘들다|요즘 피곤해서 학교에 다니는 것이 힘들어요
요즘 환절기 조심하다 되다|요즘이 환절기라 조심해야 해요
욕실 넓다 그런데 부엌 좁다|욕실은 넓은데 부엌은 좁아요
우리 여행 어떠하다|우리 여행하지 않을래요
우리 학교 한번 만나다 부탁하다|우리 학교에서 한번 만나요
우리나라 산 그리고 바다 모두 괜찮다|우리나라의 산과 바다는 모두 괜찮아요
우리나라 오다 외국인 함께 가다 어디 좋다|우리나라에 온 외국인과 어디를 가면 좋을까요
우리나라 잘 나타내다 것 좋다 같다|우리나라를 잘 나타내는 것이 좋겠죠
우선 유실물 센터 신고하다|우선 유실물센터에 신고부터 해요
우울 아직|아직도 우울해요
우편물 대신 받다 부탁하다|우편물 좀 받아 주세요
운동 영화 감상 등산 여행 아마|운동 영화 감상 등산 여행 등이겠지요
울릉도 경주 또는 가다 해보다|울릉도나 경주에 가 보세요
울릉도 특산물 많다 그리고 경주 유적 많다|울릉도는 특산물이 많고 경주는 유적이 많아요
월요일 다르다 약속 있다 안되다|월요일에는 다른 약속이 있어서 안 돼요
웨딩드레스 눈부시다|웨딩드레스가 눈부시다 
이것 검정색 원피스 어떠하다|이 검정색 원피스는 어때요
이것 집 경치 좋다|이 집은 경치가 좋네요
이것 치마 얼마|이 치마는 얼마에요
이것 헬스클럽 다니다 생각하다|이 헬스클럽에 다니려고 합니다
이번 모임 때 가다 여행지 추천하다 부탁하다|이번 모임에서 갈 여행지를 추천해 주세요
이번 방학 동안 공부 만 하다 생각하다|이번 방학 동안에는 공부만 하려고 해요
이번 연휴 낚시 가다|이번 연휴에 낚시하러 가요
이번 주 보다 일 많다 때문 걱정이다|이번 주에는 볼 일이 많아서 걱정이에요
이번 주 저 랑 등산 가다|이번 주에 저랑 산에 갑시다
이사 비용 얼마나|이사 비용은 얼마나 들까요
이사 원하다|이사를 하려고요
이사 짐 센터 묻다 되다 같다|이삿짐센터에 물어봐야 할 것 같아요
이유 한번 묻다 해보다|왜 그러는지 한 번 물어 봐요
일기 예보 말하다 무엇|일기 예보에서 뭐라고 하던가요
입다 해보다 괜찮다|입어 봐도 괜찮아요
자다 전 따뜻하다 우유 마시다 해보다 어떠하다|자기 전에 따뜻한 우유를 마셔 보는 건 어때요
자동차 가격 비싸다 아니다|자동차 가격이 비싸지 않나요
자신감 사라지다 점점|점점 자신감이 없어져요
자신감 있다 태도|자신감 있는 태도입니다
자전거 타다 괴팍하다 어떠하다|자전거를 그렇게 타면 어떻게 해요
잘 내리다 할 수 있다 걱정|잘 내릴 수 있을지 걱정이에요
잘 모르다 그냥 저 멀리하다|잘 모르겠어요 그냥 저를 멀리해요
재활용 쓰레기 어떻게|재활용 쓰레기는 어떻게 버리나요
저 가다 약속|제가 그 쪽으로 가겠습니다
저 고급 자동차 사다 계획|저는 고급 자동차를 사려고 합니다
저 다음 달 결혼하다|저도 다음 달에 결혼을 합니다
저 다음 주 출산하다|제가 다음 주에 출산을 해요
저 도 처음 무섭다 하지만 지금 제일 친하다|저도 처음엔 무서웠는데 지금은 제일 친해요
저 도 춤추다 좋아하다|저도 춤을 추는 것을 좋아해요
저 도 취미 하나 가지다 싶다|저도 취미를 하나 가지고 싶어요
저 도 하늘 맑다 가을 제일 좋다|저도 하늘이 맑은 가을이 제일 좋아요
저 도 하다 싶다 하지만 시간 없다|저도 그러고 싶지만 시간이 없어요
저 도 한국 대학교 다니다|저도 한국대학교에 다녀요
저 랑 방 쓰다 친구 때문|저랑 방을 쓰는 친구 때문이에요
저 백화점 주로 가다|저는 주로 백화점에 갑니다
저 사진 찍다 취미|저는 사진 찍는 것이 취미입니다
저 살 좀 빼다 생각하다|저는 살을 좀 빼려고 해요
저 수요일 부터 특별하다 약속 없다|저는 수요일부터 특별한 약속이 없어요
저 실수하다 같다|제가 실수를 한 것 같아요
저 알다 집 에서 민박 좋다|제가 아는 집에서 민박을 하는 것이 좋을 것 같아요
저 연필 집다 말하다|저는 연필을 집었대요
저 일주일 동안 출장 가다|제가 일주일 동안 출장 가요
저 조금 크다 아니다|저한테 좀 크지 않아요
저 조용하다 모임 찾다 중|저는 조용한 모임을 찾는 중이에요
저 지금 시험 가다 그런데 크다 일|저는 지금 시험을 보러 가야하는데 큰일이에요
저 집 젖다 수건 널다|저는 집에서 젖은 수건을 널어놓아요
저 한국 대학교 다니다 중|저는 한국대학교에 다녀요
저 함께 병원 가다 해보다|저와 함께 병원에 가 보실래요
저 휴대폰 번호 알다 주다|제 휴대폰 번호를 가르쳐 드릴게요
저기 보이다 것 남산|저기 보이는 게 남산이지요
저기 부동산 묻다 해보다|저 부동산에다 물어보세요
저기 자리 있다|저기 자리가 있어요
저녁 때 헬스클럽 다니다 해보다|저녁 때 헬스클럽에 다녀 볼까요
저희 검사 다음 적합하다 운동 알리다|저희가 검사를 해서 적합한 운동을 알려 드립니다
전공 활용 할 수 있다 일 싶다|전공을 살릴 수 있는 일을 하고 싶어요
전국 일주 계획 중 좋다 곳 추천하다 부탁하다|전국을 일주하려고 하는데 좋은 곳 좀 추천해 주세요
전기 요금 도 하숙비 포함 되다|전기 요금도 하숙비에 포함 됩니까
정리 아직 엉망|아직 정리가 덜 돼서 엉망이에요
정말|정말 그래요
정말  저희 여행 동호회 오다  해보다|정말이에요 저희 여행 동호회에 와 보세요
정말 알다 없다 사람|정말 알 수 없는 사람이에요
정말 왜|그래요 왜요
정말 잘 되다|정말 잘 되었군요
정말 축하하다|정말이요? 축하합니다
젖 먹이다 기저귀 갈다 씻기다 재우다 일|젖을 먹이고 기저귀를 갈고 씻기고 재우는 일이지요
제주도 어떠하다|제주도는 어떨까요
제주도 에서 구경하다 해보다 괜찮다 곳 어디|제주도에서 구경할 만한 곳은 어디인가요
조교 전화를 걸다 끝|조교에게 전화를 했는데요
졸리다 때문 하루 다섯 이상 마시다|졸음이 와서 하루에 5잔 이상 마셔요
좋다 건강 제일 중요하다|좋아요 건강이 제일 중요해요
좋다 낙엽이 떨어지다 산 가다|좋아요 낙엽이 떨어지는 산으로 가요
좋다 사람 소개하다|좋은 사람 소개할까요
좋다 시작하다 언제|좋아요 언제부터 시작하나요
좋다 집 이사하다 축하하다|좋은 집에 이사 온 것 축하합니다
죄송 하지만 신문 치우다 할 수 있다|죄송하지만 신문도 좀 치워 주시겠어요
죄송하다 자전거 서투르다 몸 괜찮다|죄송해요 자전거 타는 게 서툴러서요 몸은 괜찮으세요
주로 주말 공휴일 또는|주로 주말이나 공휴일에 합니다
주의 사항 무엇|주의할 사항이 뭐가 있나요?
중부 지방 대설 주의보 보도하다 끝 말하다|중부 지방에 대설 주의보가 내렸대요
지 수 얼굴 좋다 아니다 보이다|지수씨 얼굴이 안 좋아 보여요
지 수 학교 오다 아직|지수씨가 학교에 오지 않았어요
지갑 그리고 책 넣다 있다|지갑과 책이 들어 있어요
지금 기분 좋다 친구 화해하다 끝|지금은 기분이 좋습니다 친구와 화해를 했거든요
지금 표 사다 두다 고향 가다 쉽다|지금 표를 사 두어야 고향에 가기가 쉬워요
지나 물건 사다 어디|지나씨는 어디에서 물건을 사요
지불 어떻게|결재는 어떻게 하실 건가요
지하철 곳 가방 두다 내리다|지하철에 가방을 두고 내렸어요
진호 정말 미남|진호씨는 정말 미남이네요
질문 대하다 대답 어떻게|질문에 대답은 어떻게 하나요
집 구경 괜찮다|집 구경 좀 해도 될까요
집 때문 전화를 받다 학생 맞다|집 때문에 전화를 한 학생이군요
집 에서 송편 만들다 먹다 생각하다 중|집에서 송편이나 만들어 먹을까 해요
집 크다 좋다 그런데 이것 집 사다|집이 크고 좋은데 이 집을 사셨어요
집들이 선물 세제 사다|집들이 선물로 세제를 샀어요
차 문제 생기다 때문이다|자동차에 문제가 있어서 그랬어요
차 문제 생기다 출장 오다 가능하다|차에 문제가 생겼는데 출장을 나와 주시면 안 될까요
처음 오다 때문 운동 어떻게 잘 모르다|처음 와서 운동을 어떻게 하는지 잘 모르겠어요
춥다 겨울 보다 시원하다 가을 좋다|추운 겨울보다는 시원한 가을이 좋아요
취미 활동 언제|취미 활동은 언제 합니까
친절하다 가르치다 받다 감사하다|친절하게 가르쳐 주셔서 감사합니다
캐주얼 보다 정장 입다 좋다|캐주얼보다는 정장을 입는 게 좋아요
커피 줄이다 운동하다 좋다|커피를 줄이고 운동을 하는 게 좋겠어요
특별 계획 생각하다 아직|아직 특별한 계획은 생각해 보지 않았는데요
평소 아이들 많다 뛰다 같다|평소에도 아이들이 많이 뛰는 것 같아요
포기하다 말다 마지막 까지 최선 해보다|포기하지 말고 끝까지 최선을 다해 봐요
피곤 때문|피곤해서 그래요
하나 사이즈 더 크다 것 바꾸다 할 수 있다|한 사이즈 더 큰 것으로 바꿀 수 있을까요
하숙 생활하다 적 있다|하숙 생활을 해 본 적이 있나요
하지만 아직 애인 없다|하지만 아직 애인도 없어요
학교 앞에서 민박 아마|학교 앞에서 민박을 할 거예요
한글 만들다 전 사용 글자 무엇|한글이 만들어지기 전에는 무슨 글자를 사용했어요
한글 세계 자랑하다 충분하다|한글은 세계에 자랑할 만하군요
한라산 바닷가 그리고 식물원 괜찮다 말하다|한라산 바닷가 식물원 등이 괜찮다고 합니다
한복 보다 도자기 전통 인형 또는 같다|한복 보다는 도자기나 전통 인형이 좋을 것 같아요
한복 주다 도 괜찮다|한복을 주는 것도 괜찮을까요
한자 사용하다|한자를 사용했어요
할 수 있다 운동복 갈아입다 오다 부탁하다|할 수 있어요 운동복으로 갈아입고 오세요
혹시 아르바이트 해보다 마음 없다|혹시 아르바이트할 마음은 없어요
혹시 어디 아프다 아니다|혹시 어디 아픈 거 아니에요
활동적 것 좋다 아마|활동적인 것이면 좋겠어요
회사 도 냄새 때문 싫어하다|회사에서도 냄새 난다고 싫어해요
회사 사람들 저 싫어하다 같다|회사 사람들이 저를 싫어하는 것 같아요1950년 6월 25일 한국 전쟁 나다|1950년 6월 25일에 한국 전쟁이 일어났다 
30대 초반 내 집 마련하다 생각하다|30대 초반에 내 집을 마련할 생각이다 
30분 후後 도착 할 수 있다|30분 후에 도착할 수 있습니다 
가다 말 곱다 오다 말 곱다|가는 말이 고와야 오는 말이 곱다 
가능하다 면 빨리 부탁|가능한 한 빨리 해 주십시오 
강당 방학식 있다|강당에서 방학식을 한다 
거기 관심 별로 없다|거기엔 관심이 별로 없어요 
건강 위하다 금식하다|건강을 위해서 금식한다 
고기압 영향 아마|고기압의 영향을 받겠습니다 
고속철도 개통하다 끝|고속철도를 개통하였다 
공부 잘하다 때문 우등상 받다 끝|공부를 잘해서 우등상을 받았어요 
구경 가다 시간 없다|구경을 갈 시간이 없어요 
국경일 태극기 달다|국경일에는 태극기를 단다 
굽 너무 굽이 높다|굽이 너무 높아요 
그것 바지 매진되다|그 바지는 매진되었습니다 
그것 방 비어있다 아직|그 방은 아직도 비어있습니까
그 영화 벅차다 감동 받다|그 영화는 벅찬 감동을 주었다 
그녀 부끄럽다 고개를 숙이다|그녀는 부끄러워 고개를 숙이고 있다 
그녀 만나다 생각 마음 설레다|그녀를 만날 생각을 하니 마음이 설렌다 
그 대학교 졸업 후 군대 가다 계획|그는 대학교를 졸업하고 군대에 가려고 한다 
그 머리 수그리다 용서 빌다|그는 머리를 수그리고 용서를 빈다 
그 집 호화스럽다|그의 집은 호화스럽다 
그 처지 안타깝다|그의 처지가 안타깝다 
그 표정 무뚝뚝하다|그의 표정은 무뚝뚝했다 
기숙사 다 좋다 아니다 같다|기숙사라고 해서 다 좋은 건 아닌 것 같아요 
기차 서울역 출발하다 끝|기차가 서울역을 출발했다 
기차 비행기 보다 느리다|기차는 비행기보다 느리다 
기차 타다 새벽 도착하다|기차를 타고 새벽에 도착했다 
기침 나다 멍하다|기침도 나고 정신이 없어요 
나 그 화내다 후회하다|나는 그에게 화낸 것을 후회한다 
나 그 다투다 뉘우치다 있다|나는 그와 다툰 것을 뉘우치고 있다 
나 기차 타다 멀미|나는 기차만 타면 멀미한다 
나 마지막 까지 싸우다 결심하다|나는 끝까지 싸우기로 결심했다 
나 낚시 보다 축구 더 좋다|나는 낚시보다 축구가 더 좋다 
나 너 정성 감동하다|나는 너의 정성에 감동하였다 
나 매부 약속 취소하다|나는 매부와의 약속을 취소했다 
나 모두 것 귀찮다|나는 모든 것이 귀찮다 
나 무심하다 표정|나는 무심한 표정을 지었다 
나 열차 기다리다 중|나는 열차를 기다리고 있다 
나 우표 수집하다|나는 우표를 수집한다 
나 잘못 반성하다|나는 잘못을 반성한다 
나 정년 후 귀향 생각하다|나는 정년 후에 귀향할 생각이다 
나 지난 7일 동안 중국 여행하다 겪다|나는 지난 7일 동안 중국을 여행하였다 
나 만 빼다 모두 진학하다|나만 빼고 모두 진학했어요 
날씨 맑다 빨래 잘 마르다|날씨가 맑아 빨래가 잘 마른다 
날씬하다 보다 옷 좋다|날씬해 보이는 옷이 좋아요 
낯설다 사람 조심하다|낯선 사람을 조심하라 
내리다 문 오른쪽|내리실 문은 오른쪽입니다 
내일 쉬다 낫다|내일은 쉬는 게 낫겠어요 
넘어지다 발목 삐다 되다|넘어져서 발목이 삐었어요 
노란색 선 물러서다|노란색 선 뒤로 물러서세요 
노약자 보호석 앉다 안되다|노약자 보호석에 앉으면 안 돼요 
농협 에서 특산물 싸다 사다 할 수 있다|농협에서는 특산물을 값싸게 살 수 있어요 
뇌물을 받다 말다|뇌물을 받지 마라 
눈 내리다 때 우산 사용 아니하다|눈이 내릴 때에는 우산을 쓰지 않는다 
눈 변하다 비 되다|눈이 비로 변했다 
다르다 방법 없다|다른 방법이 없을까요
다르다 약속 때문 어쩔 수 없다|다른 약속이 있어서 어쩔 수 없어요 
다음 주 세일 기간|다음 주부터 세일 기간입니다 
다음 늦다 절대로|다음에는 절대로 늦지 않을게 
담배 집 밖 가다 피우다 되다|담배는 집 밖에 나가서 피워야 해요 
대기업 복지 사업 계획 발표하다 끝|대기업이 복지 사업 계획을 발표하였다 
독도 한국 땅|독도는 한국 땅이다 
동생 시무룩하다 표정 중中|동생이 시무룩한 표정을 짓고 있다 
동정 필요 없다|동정은 필요 없다 
두 사람 의견 절충하다 좋다|두 사람의 의견을 절충하는 것이 좋겠다 
마을 온통 눈 덮다 되다|마을이 온통 눈으로 덮였다 
마음 무겁다|마음이 무겁다 
매일 같다 시간 자다 일어나다|매일 같은 시간에 자고 같은 시간에 일어나요  
면접 때 화장 진하다 아니다 좋다|면접 때 화장은 진하지 않은 것이 좋다 
무슨 말씀 드리다 모르다|뭐라고 말씀드려야 할지 모르겠습니다 
바둑 장점 무엇|바둑의 장점은 무엇입니까
반드시 합격 할 수 있다|반드시 합격하고야 말겠어요 
밥 끓이다 먹이다|밥을 끓여서 먹이세요 
방값 싸다|방값이 싸다 
방 참 밝다 또 깨끗하다|방이 참 밝고 깨끗하네요 
방학 동안 하다 싶다 많다 그런데|방학 동안 하고 싶은 게 많았는데 
방학 숙제 못하다 때문 혼나다|방학 숙제를 못해서 혼났다 
방학 끝나다 면 고등학생 되다|방학이 끝나면 고등학생이 된다 
방학 때 자원 봉사 하다|방학이 되면 자원봉사를 해요 
번거롭다 만들다 죄송하다|번거롭게 해 드려서 죄송해요 
부동산 이사 집 소개 받다 곳|부동산은 이사할 집을 소개해 주는 곳이에요 
부모 잃다 아이들 가엾다|부모 잃은 아이들이 가엾다 
불고기 한번 먹다 충분하다|불고기는 한번 먹어 볼 만해요 
비 내리다 때 할아버지 더 보다 싶다|비가 내리면 할아버지가 더 보고 싶다 
비밀 지키다 부탁하다 그런데 소문 퍼지다 벌써|비밀을 지켜 달라고 부탁했는데 벌써 소문이 퍼졌다
사람들 건강 위하다 운동하다|사람들은 건강을 위해 운동을 한다 
사람들 화초 가꾸다|사람들은 화초를 가꾼다 
삼일절 독립운동 기념하다 날|삼일절은 독립운동을 기념하는 날이에요 
새해 원하다 것 성취하다 바라다|새해에는 뜻하신 바를 성취하시기 바랍니다 
생각 해보다 다시 오다 아마|생각해 보고 다시 올게요 
서로 양보하다 되다|서로 양보를 해야지요 
서울 집 사다 하늘 별 따다 같다|서울에서 집 사기는 하늘의 별 따기예요 
선생님 말씀 순종 해|선생님의 말씀에 순종하라 
선생님 인터뷰 끝|선생님하고 인터뷰를 하셨어요
설날 아침 떡국 먹다|설날 아침에는 떡국을 먹습니다 
성숙하다 사람 분노 억제 할 수 있다|성숙한 사람은 분노를 억제할 수 있다 
손자 할아버지 께 세배하다|손자가 할아버지께 세배한다 
수첩 약속 장소 기록하다|수첩에 약속 장소를 기록한다 
시험 떨어지다 할까봐 불안하다|시험에 떨어질까봐 불안하다 
식목일 쉬다 날|식목일은 쉬는 날이에요
식품 매장 가전제품 매장 이용하다|식품 매장과 가전제품 매장을 이용합니다 
신발 사이즈 얼마|신발 사이즈가 어떻게 되세요
아기 토하다 때문 소아과 데리고 가다 끝|아기가 토해서 소아과에 데리고 갔습니다 
아내 조금 섭섭하다 모양|아내는 좀 섭섭한 모양이다 
아랫사람 먼저 사과하다 옳다|아랫사람이 먼저 사과하는 것이 옳다 
아무리 결심 작심삼일|아무리 결심을 해도 작심삼일이다 
아버지 표정 우울하다|아버지의 표정이 우울하시다 
아침 일찍 운동하다|아침 일찍 운동을 합니다 
아파트 생활하다 편리하다|아파트가 생활하기 편리하다 
앞으로 잘 부탁하다|앞으로 잘 부탁드립니다 
야단맞다 할까봐 걱정|야단 맞을까봐 걱정이다 
약속 깜박 잊다|약속을 깜박 잊었다 
어제 만나다 남자 자기 이야기 만 끝없이 계속하다|어제 만난 남자는 자기 얘기만 했어요 
어제 원고 넘기다 예정이다|어제 원고를 넘길 예정이었다 
여가 시간 잘 활용|여가를 잘 활용하자 
여기 안방/묻는 표정|여기가 안방인가요
여름 때 밤 보다 낮 더 길다|여름이 되면 밤 보다 낮이 길어진다 
여학생들 음악 맞추다 체조하다|여학생들이 음악에 맞추어 체조한다 
열 내리다 설사 금방 멈추다|열이 내리면 설사는 금방 멈춥니다 
열차 역 정차하다|열차가 역에 정차한다 
오랫동안 출혈하다 면 건강 나쁘다|오랫동안 출혈하면 건강이 나빠진다 
올해 공공기관 취직 원하다|올해는 공공 기관에 취직했으면 좋겠어요 
옷 두껍다 입다 도 감기 잘 걸리다|옷을 두껍게 입어도 감기에 잘 걸려요 
외모 보다 사람 평가 안되다|외모만으로 사람을 평가하면 안 됩니다 
요즘 유행하다 디자인|요즘 유행하는 디자인이에요 
우리나라 겨울 너무 춥다|우리나라 겨울은 너무 추워요 
우리 내년 사업 계획 수정하다 끝|우리는 내년도 사업 계획을 수정했다 
우리 한번 믿다 부탁하다|우리를 한번 믿어 주세요 
음악 소리 크다 때문 집중 안되다|음악 소리가 커서 집중이 안돼요 
이것 집 짓다 오래되다 끝|이 집은 지은 지 오래되었습니다 
이것 월세|이건 월세예요 
이것 명품 핸드백|이것은 명품 핸드백입니다 
이웃 사촌 말 있다|이웃사촌이라는 말도 있잖아요 
자다 전 소금물 양치질 해보다|자기 전에 소금물로 양치질을 해 보세요 
자다 전 와인 마시다 해보다 어떠하다|자기 전에 와인을 마셔 보는 건 어때요
잘못 회개 하여라|잘못을 회개하라 
잠 불면 면 운동 해보다|잠이 안 오면 운동을 해 보세요 
재능 활용 할 수 있다 일 싶다|재능을 살릴 수 있는 일을 하고 싶어요 
저 오랫동안 선배 오해하다 같다|저는 오랫동안 선배님을 오해했던 것 같습니다 
저 요리하다 취미|저는 요리하는 것이 취미다 
저 주로 할인 매장 가다|저는 주로 할인매장에 갑니다 
저 도움을 받다 간절히 부탁하다|저를 도와주기를 간절히 부탁합니다 
전주 비빔밥 유명하다|전주는 비빔밥이 유명해요 
전화 오다 면 받다 부탁하다|전화가 오면 좀 받아 주세요 
젊은이들 산 야영하다|젊은이들이 산에서 야영한다 
제 동생 대신 사과하다|제가 동생을 대신해서 사과합니다 
제사 때 절 두 번 맞다|제사 때는 절을 두 번 하나요
중국 도 좋다 하지만 일본 가다 어떠하다|중국도 좋지만 일본에 가는 게 어때요
지금 가다 늦다 아마|지금 가 봤자 늦을 거예요 
지난 여름 때 비 잦다 내리다|지난 여름에는 비가 잦았다 
직장 생활 너무 힘들다|직장 생활이 너무 힘들어요
집 입다 해보다 작다|집에서 입어보니까 조금 작아요 
창문 열다 면 시원하다|창문을 열면 아주 시원해요 
창 밖 아름답다 호수 보이다|창밖으로 아름다운 호수가 보여요 
천둥소리 놀라다 일제히 일어서다|천둥소리에 놀라 일제히 일어섰다 
첫인상 성격 너무 다르다|첫인상과 성격이 너무 달라요 
추위 물러가다 끝|추위가 물러갔다 
추위 많다 타다 겨울 싫다|추위를 많이 타서 겨울을 싫어해요 
충분하다 수분 섭취 필요하다|충분한 수분의 섭취가 필요하다 
치통 심하다 때문 잠자다 할 수 없다|치통이 심해 잠을 잘 수가 없어요 
친구들 많다 사귀다 싶다|친구들을 많이 사귀고 싶어요 
친구 배신하다 말다|친구를 배신하지 마라 
태권도 정신 집중 도움을 받다 되다|태권도는 정신을 집중하는데 도움이 됩니다
태풍 북상 중中|태풍이 북상하고 있어요 
표 다 매진되다|표가 다 팔렸어요 
프림 대신 우유 넣다|프림 대신에 우유를 넣을래요
학비 마련하다 되다|학비를 마련해야 한다 
학생들 애국가 합창|학생들이 애국가를 합창한다 
학생 트럼프 섞다|학생이 트럼프를 섞는다 
학창 시절 꿈 무엇|학창 시절의 꿈은 무엇이었습니까
한국 사람 외국 사람 정답다 대하다|한국 사람은 외국 사람을 정답게 대한다 
한국 아시아 동쪽 있다|한국은 아시아의 동쪽에 있습니다 
한번 이기다 방심하다 안되다|한번 이겼다고 방심해서는 안 된다 
한번 만 저희 편의 도움을 받다 부탁하다|한번만 저희 편의를 봐 주십시오 
한번 실수 눈감아 주다 할 수 있다|한번의 실수는 눈감아 줄 수 있다 
할아버지 뒷산 산책하다 중|할아버지는 뒷산에서 산책하고 계신다 
화나다 미치다|화가 나서 미치겠다 
흐리다 날 우울하다 되다|흐린 날에는 우울해진다 
흥분 가라앉다|흥분이 가라앉았다 
나 어제 새롭다 옷 입다 친구 만나다|나는 어제 새 옷을 입은 친구를 만났다
너 가다 어디 물음표|너 어디가
천천히 걷다 면 도착 늦다|그렇게 천천히 걷다간 지각하겠어
아들 날 새다 면 지게 지다 가다|아들은 날새면 지게를 지고 나갔다
천천히 먹다 면 밤 새다|그렇게 천천히 먹다간 밤새겠다
공부 만 말다 가끔 쉬다|공부만 하지 말고 가끔은 쉬기도 해라
너 정말 조용하다|너야말로 조용히 해라
해 지다 면 울다 새|해곧 지면 우는 새
우리 좋다 친구 하자|우리 좋은 친구로 지내자
얌전 학생 말썽꾼 변하다|그렇게 얌전하던 학생이 말썽꾼으로 변했다
물 얼다 면 얼음 되다|물이 얼면 얼음이 된다
성공 면 연락 꼭|성공해설랑은 꼭 연락해야 한다
너 아무 걱정 말다 공부 만 열심|널랑은 아무 걱정 말고 공부만 열심히 하여라
일 걱정 말다 쉬다 충분 오다|일일랑은 걱정을 말고 푹 쉬다 와라
저것 학생 나 알다 학생 옷 모습 다르다|저 학생은 내가 알고 있던 학생과는 옷차림이 다르다
다르다 사람 상관없다 너 꼭 오다|다른 사람은 몰라도 너만은 꼭 와야 한다
형 많이 닮다|형이랑 많이 닮았구나
심심하다 영화 보다 가자|심심한데 영화나 보러 가자
느끼다 백두산 상상봉 오르다 같다|마치 백두산 상상봉에나 오른 것 같구나
집 학교 상관없다 있다 되다|집에든 학교에든 있으면 됐다
바다 또 강 걷다 기분 좋다|바닷가라든지 강가를 거닐다 보면 기분이 좋아진다
너 애들 합 놀다|너는 애들하고나 놀아라
 굿 보다 떡 먹다|굿이나 보고 떡이나 먹자
함께 혼자 상관없다 잘 놀다 되다|함께든지 혼자서든지 잘 놀면 되었지
무엇 부탁하다 면 얻다|무엇이든 구하면 얻으리라
사전 책상 위 올려놓다|사전을 책상 위에다 올려놓아라
흩어지다 시간 한 시 다시 모이다|흩어졌다가 한 실 기준으로 다시 모이자
이것 일 시작 함께 뭉치다|이 일을 시작으로 함께 뭉치자
그 일 끝나다 면 내게 오다|그 일이 끝나면 내게로 오라
그 곳 얌전 있다|그곳에설랑 얌전히 있어라
너 먼저 먹다|너부터 먼저 먹어라
바다 곳 고기 잡다|바다에설랑 고기를 잡자
회사 다니다 그만 두다 끝|회살 다니다가 그만두었다
학교 다니다 집 어렵다 때문 그만 두다|학교를 다니다가 집안 형편상 그만두었다
친구 함께 놀다 가다|친구하고 놀러 간다
나 친구 함께 영화 보다 가다|나는 친구랑 함께 영화를 보러 갔다
나 같이 놀다|나하고 놀자
푸르다 천 치마 만들다|이 푸른 천을 치마로 만들자
8일 동안 계속 이야기 문장 책 읽다|꼬박 일주일하고 하룰 소설만 읽으며 보냈어요
송편 맛있다 또 모양 예쁘다|송편이 맛뿐만 아니라 모양까지 좋구나
밥 만 먹다 말다 반찬 포함 먹다|밥만 먹지 말고 반찬도 먹어라
너도 나 떠나다|너마저 나를 떠나는구나
화장품 좋다 더해서 향 더 좋다|화장품이 품질뿐만 아니라 향기까지 좋구나
밤 늦다 또 비 내리다 때문 하루 더 자다 가다|밤도 늦었고 비까지 내리니 하루 더 묵고 가거라
책상 거기 두다|책상을 거기다가 두어라
나 잘못 조금 있다 인정하다|내가 잘못을 좀 했다손 치자
우리 가능 까지 해보다|우리가 할 수 있는 데까지 해 봅시다
오늘 까지 어렵다 면 내일 까지 괜찮다|오늘까지 어려우시면 내일까지도 괜찮습니다
비 내리다 그런데 바람 불다|비가 오는데 바람조차 부는구나
국수 먹다 해보다|국수라도 좀 먹으렴
밥 없다 면 라면 괜찮다 주다|밥이 없으면 라면이라도 주세요
고구마 먹다 해보다|고구마라도 좀 먹으렴
냄새 만 맡다 해보다 좋다 아마|냄새라도 맡아 보았으면 좋겠다
여행 가다 오다 해보다|어디 여행이라도 다녀오렴
많다 아니다 그러다 보태다 쓰다|얼마 되겠느냐마는 보태어 쓰도록 해라
아무 있다 면 나오다 해보다|아무라도 있으면 나와 보시오
너 원하다 대로|네 뜻대로 해라
밥 만 먹다 속 아프다|밥만 먹으면 속이 쓰리다
나 살다 곳 집|나의 살던 고향
다 떠나다|다들 떠나갔구나
이 책 친구 주다|이 책은 그 친굴 주어라
그대로 두다|그대로 두어라
2호선 타다 남대문 시장 가다 가능|2호선을 타면 남대문 시장에 갈 수 있나요
가능 면 담배 줄이다 부탁하다|가능하면 담배를 좀 줄이세요
가방 찾다 못하다 큰 일이다|가방을 못 찾으면 큰일인데
그것 좋다 방법|그것도 좋은 방법이군요
그래서 공부 잘하다|그래서 공부를 잘 하는구나
그래서 혼자 항상|그래서 항상 혼자 있었군요
다르다 사람 보다 다이어트 쉽다 아니다 같다|다른 사람들을 보면 다이어트는 쉽지 않은 것 같아요
담배 피다 없다 면 건강 나쁘다 없다 아마|담배를 피우지 않았더라면 건강이 나빠지지 않았을 거예요
돕다 필요하다 면 아무 때 말 부탁|도움이 필요하면 언제든지 말씀하세요
며칠 전 전화 학생|며칠 전에 전화를 걸었던 학생이에요
몸 약하다 많다|몸이 많이 약해 졌군요
미국 가다 면 어디 지내다|미국에 가면 어디에서 지내세요
병원 가다 경험|병원에는 가 봤어요
시간 흐르다 면 나아지다 아마|시간이 지나면 조금씩 나아질 거예요
안내 방송 잘 듣다 되다|안내 방송을 잘 들으면 되요
안녕하세요 무엇 일 오다|안녕하세요 무슨 일로 오셨습니까
알다 빨리 타다|알았어요 빨리 탑시다
알다 혹시 마음 바뀌다 연락 부탁하다|알겠습니다 혹시 마음이 바뀌면 연락 주세요
어제 학교 오다 중 사고 병원 가다 끝|어제 학교에 오다가 사고가 나서 병원에 갔었어요
열차 가깝다 가다 면 위험하다|열차에 가까이 가면 위험해요
